Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Components	Taxonomic lineage	Genome assembly ID	Genome representation
UP000694380	Chrysemys picta bellii (Western painted turtle) (Emys bellii)	8478	37046	C:95.4%[S:52.0%,D:43.3%],F:1.9%,M:2.7%,n:7480	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 6; Chromosome 5; Chromosome 7; Chromosome 8; Chromosome 10; Chromosome 11; Chromosome 13; Chromosome 15; Chromosome 17; Chromosome 19; Chromosome 21; Chromosome 22; Chromosome 24; Chromosome 25; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Testudinata, Testudines, Cryptodira, Durocryptodira, Testudinoidea, Emydidae, Chrysemys, Chrysemys picta	GCA_000241765.2	full
UP000694382	Geospiza parvula (Small tree-finch) (Camarhynchus parvulus)	87175	24736	C:92.1%[S:68.4%,D:23.7%],F:2.0%,M:5.9%,n:10844	Unknown	Chromosome 1; Chromosome 1A; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 4A; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Chromosome 25; Chromosome 26; Chromosome 27; Chromosome 28; Chromosome Z; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Neoaves, Telluraves, Australaves, Passeriformes, Thraupidae, Camarhynchus	GCA_902806625.1	full
UP000694383	Oryzias sinensis (Chinese medaka)	183150	51767	C:84.3%[S:43.2%,D:41.0%],F:4.9%,M:10.8%,n:3640	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Neoteleostei, Eurypterygia, Ctenosquamata, Acanthomorphata, Euacanthomorphacea, Percomorphaceae, Ovalentaria, Atherinomorphae, Beloniformes, Adrianichthyoidei, Adrianichthyidae, Oryziinae, Oryzias	GCA_008586565.1	full
UP000694387	Equus asinus (Donkey) (Equus africanus asinus)	9793	48973	C:97.1%[S:39.1%,D:58.0%],F:1.0%,M:1.9%,n:12234	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome X; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Chromosome 25; Chromosome 26; Chromosome 27; Chromosome 28; Chromosome 29; Chromosome 30; Chromosome Y; Mitochondrion MT; Unassembled WGS sequence; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Perissodactyla, Equidae, Equus	GCA_016077325.2	full
UP000694388	Eptatretus burgeri (Inshore hagfish)	7764	25419	C:57.5%[S:30.3%,D:27.2%],F:12.5%,M:30.0%,n:3354	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Cyclostomata, Myxini, Myxiniformes, Myxinidae, Eptatretinae, Eptatretus	GCA_900186335.2	full
UP000694389	Dicentrarchus labrax (European seabass) (Morone labrax)	13489	66288	C:91.7%[S:41.4%,D:50.3%],F:1.0%,M:7.3%,n:3640	Unknown	Unassembled WGS sequence; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Neoteleostei, Eurypterygia, Ctenosquamata, Acanthomorphata, Euacanthomorphacea, Percomorphaceae, Eupercaria, Eupercaria incertae sedis, Moronidae, Dicentrarchus	GCA_905237075.1	full
UP000694392	Sphenodon punctatus (Tuatara) (Hatteria punctata)	8508	24853	C:83.4%[S:63.2%,D:20.1%],F:5.0%,M:11.6%,n:7480	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Lepidosauria, Sphenodontia, Sphenodontidae, Sphenodon	GCA_003113815.1	full
UP000694393	Pelusios castaneus (West African mud turtle)	367368	26820	C:93.9%[S:75.4%,D:18.5%],F:2.3%,M:3.8%,n:7480	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Testudinata, Testudines, Pleurodira, Pelomedusidae, Pelusios	GCA_007922175.1	full
UP000694395	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)	8022	119611	C:98.1%[S:27.4%,D:70.7%],F:0.7%,M:1.2%,n:3640	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Chromosome 25; Chromosome 26; Chromosome 27; Chromosome 28; Chromosome 30; Chromosome 31; Chromosome 32; Chromosome Y; Unassembled WGS sequence; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Protacanthopterygii, Salmoniformes, Salmonidae, Salmoninae, Oncorhynchus	GCA_013265735.3	full
UP000694396	Cyanoderma ruficeps (rufous-capped babbler)	181631	21562	C:93.2%[S:73.0%,D:20.2%],F:1.7%,M:5.1%,n:10844	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Neoaves, Telluraves, Australaves, Passeriformes, Sylvioidea, Timaliidae, Cyanoderma	GCA_008694505.1	full
UP000694397	Scleropages formosus (Asian bonytongue) (Osteoglossum formosum)	113540	68105	C:97.2%[S:48.3%,D:48.9%],F:1.0%,M:1.8%,n:3640	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Unassembled WGS sequence; Chromosome 25	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Osteoglossocephala, Osteoglossomorpha, Osteoglossiformes, Osteoglossidae, Scleropages	GCA_900964775.1	full
UP000694401	Zosterops lateralis melanops	1220523	21599	C:85.7%[S:64.2%,D:21.4%],F:3.6%,M:10.7%,n:10844	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Neoaves, Telluraves, Australaves, Passeriformes, Sylvioidea, Zosteropidae, Zosterops, Zosterops lateralis	GCA_001281735.1	full
UP000694402	Oncorhynchus tshawytscha (Chinook salmon) (Salmo tshawytscha)	74940	121708	C:97.1%[S:21.5%,D:75.6%],F:0.9%,M:2.0%,n:3640	Unknown	Linkage Group LG01; Linkage Group LG02; Linkage Group LG03; Linkage Group LG04; Linkage Group LG05; Linkage Group LG06; Linkage Group LG07; Linkage Group LG08; Linkage Group LG09; Linkage Group LG10; Linkage Group LG11; Linkage Group LG12; Linkage Group LG13; Linkage Group LG14; Linkage Group LG15; Linkage Group LG16; Linkage Group LG17; Linkage Group LG18; Linkage Group LG19; Linkage Group LG20; Linkage Group LG21; Linkage Group LG22; Linkage Group LG23; Linkage Group LG24; Linkage Group LG25; Linkage Group LG26; Linkage Group LG27; Linkage Group LG28; Linkage Group LG29; Linkage Group LG30; Linkage Group LG31; Linkage Group LG32; Linkage Group LG33; Linkage Group LG34; Unassembled WGS sequence; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Protacanthopterygii, Salmoniformes, Salmonidae, Salmoninae, Oncorhynchus	GCA_018296145.1	full
UP000694403	Chelydra serpentina (Snapping turtle) (Testudo serpentina)	8475	28613	C:92.1%[S:66.2%,D:25.9%],F:2.9%,M:5.0%,n:7480	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Testudinata, Testudines, Cryptodira, Durocryptodira, Americhelydia, Chelydroidea, Chelydridae, Chelydra	GCA_007922165.1	full
UP000694404	Chelonoidis abingdonii (Abingdon island giant tortoise) (Testudo abingdonii)	106734	31592	C:88.2%[S:63.6%,D:24.6%],F:4.8%,M:7.0%,n:7480	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Testudinata, Testudines, Cryptodira, Durocryptodira, Testudinoidea, Testudinidae, Chelonoidis, Chelonoidis nigra species complex	GCA_003597395.1	full
UP000694405	Melopsittacus undulatus (Budgerigar) (Psittacus undulatus)	13146	25030	C:93.8%[S:69.7%,D:24.0%],F:2.0%,M:4.2%,n:8338	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Chromosome 25; Chromosome 26; Chromosome 27; Chromosome 28; Chromosome 29; Chromosome 30; Chromosome W; Chromosome Z; Mitochondrion MT; Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Neoaves, Telluraves, Australaves, Psittaciformes, Psittaculidae, Melopsittacus	GCA_012275295.1	full
UP000694406	Laticauda laticaudata (Blue-ringed sea krait) (Blue-lipped sea krait)	8630	25227	C:73.6%[S:54.3%,D:19.3%],F:8.5%,M:17.9%,n:7480	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Lepidosauria, Squamata, Bifurcata, Unidentata, Episquamata, Toxicofera, Serpentes, Colubroidea, Elapidae, Laticaudinae, Laticauda	GCA_004320025.1	full
UP000694408	Junco hyemalis (Dark-eyed junco)	40217	22411	C:87.4%[S:59.6%,D:27.9%],F:2.0%,M:10.6%,n:10844	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Neoaves, Telluraves, Australaves, Passeriformes, Passerellidae, Junco	GCA_003829775.1	full
UP000694410	Cyanistes caeruleus (Eurasian blue tit) (Parus caeruleus)	156563	27051	C:91.7%[S:53.4%,D:38.4%],F:2.5%,M:5.8%,n:10844	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Neoaves, Telluraves, Australaves, Passeriformes, Paridae, Cyanistes	GCA_002901205.1	full
UP000694411	Theropithecus gelada (Gelada baboon)	9565	35917	C:97.2%[S:65.7%,D:31.6%],F:0.5%,M:2.3%,n:13780	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7a; Chromosome 7b; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome X; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Unassembled WGS sequence; Chromosome 20; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Cercopithecoidea, Cercopithecidae, Cercopithecinae, Theropithecus	GCA_003255815.1	full
UP000694413	Zonotrichia albicollis (White-throated sparrow) (Fringilla albicollis)	44394	23103	C:87.2%[S:57.3%,D:29.8%],F:3.2%,M:9.7%,n:10844	Unknown	Unassembled WGS sequence	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Neoaves, Telluraves, Australaves, Passeriformes, Passerellidae, Zonotrichia	GCA_000385455.1	full
UP000694415	Mus spicilegus (Mound-building mouse)	10103	35596	C:96.1%[S:60.1%,D:36.0%],F:1.0%,M:2.9%,n:13798	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires, Rodentia, Myomorpha, Muroidea, Muridae, Murinae, Mus, Mus	GCA_003336285.1	full
UP000694416	Piliocolobus tephrosceles (Ugandan red Colobus)	591936	39892	C:94.6%[S:59.2%,D:35.4%],F:1.2%,M:4.2%,n:13780	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Cercopithecoidea, Cercopithecidae, Colobinae, Piliocolobus	GCA_002776525.2	full
UP000694419	Calidris pygmaea (Spoon-billed sandpiper)	425635	26111	C:93.9%[S:63.6%,D:30.3%],F:2.7%,M:3.4%,n:8338	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Neoaves, Charadriiformes, Scolopacidae, Calidris	GCA_003697955.1	full
UP000694420	Nothoprocta perdicaria (Chilean tinamou) (Crypturus perdicarius)	30464	21914	C:83.3%[S:67.6%,D:15.7%],F:6.3%,M:10.4%,n:8338	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Palaeognathae, Tinamiformes, Tinamidae, Nothoprocta	GCA_003342845.1	full
UP000694421	Salvator merianae (Argentine black and white tegu) (Tupinambis merianae)	96440	29536	C:94.4%[S:63.7%,D:30.7%],F:1.2%,M:4.4%,n:7480	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Lepidosauria, Squamata, Bifurcata, Unidentata, Episquamata, Laterata, Teiioidea, Teiidae, Salvator	GCA_003586115.1	full
UP000694422	Spermophilus dauricus (Daurian ground squirrel)	99837	27244	C:82.9%[S:66.1%,D:16.9%],F:3.5%,M:13.6%,n:13798	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires, Rodentia, Sciuromorpha, Sciuridae, Xerinae, Marmotini, Spermophilus	GCA_002406435.1	full
UP000694423	Dromaius novaehollandiae (Emu)	8790	26023	C:95.1%[S:58.0%,D:37.2%],F:1.8%,M:3.1%,n:8338	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Palaeognathae, Casuariiformes, Dromaiidae, Dromaius	GCA_003342905.1	full
UP000694424	Apteryx owenii (Little spotted kiwi)	8824	27523	C:92.4%[S:58.2%,D:34.3%],F:2.6%,M:5.0%,n:8338	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Palaeognathae, Apterygiformes, Apterygidae, Apteryx	GCA_003342965.1	full
UP000694427	Cyprinus carpio (Common carp)	7962	121350	C:97.3%[S:17.8%,D:79.5%],F:1.0%,M:1.7%,n:3640	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Otomorpha, Ostariophysi, Otophysi, Cypriniphysae, Cypriniformes, Cyprinoidei, Cyprinidae, Cyprininae, Cyprinus	GCA_004011555.1	full
UP000694428	Pavo cristatus (Indian peafowl) (Blue peafowl)	9049	25675	C:70.9%[S:48.5%,D:22.5%],F:9.7%,M:19.4%,n:8338	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Galloanserae, Galliformes, Phasianidae, Phasianinae, Pavo	GCA_005519975.1	full
UP000694520	Bos mutus grunniens (Wild yak) (Bos grunniens)	30521	39898	C:92.0%[S:46.2%,D:45.8%],F:0.9%,M:7.1%,n:13335	Unknown	Chromosome 1; Chromosome 2; Chromosome 3; Chromosome 4; Chromosome 5; Chromosome 6; Chromosome 7; Chromosome 8; Chromosome 9; Chromosome 10; Chromosome X; Chromosome 11; Chromosome 12; Chromosome 13; Chromosome 14; Chromosome 15; Chromosome 16; Chromosome 17; Chromosome 18; Chromosome 19; Chromosome 20; Chromosome 21; Chromosome 22; Chromosome 23; Chromosome 24; Chromosome 26; Chromosome 25; Chromosome 27; Chromosome 28; Chromosome 29; Unassembled WGS sequence; Chromosome Y; Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Artiodactyla, Ruminantia, Pecora, Bovidae, Bovinae, Bos	GCA_005887515.1	full
UP000694521	Anser cygnoides (Swan goose)	8845	26655	C:95.0%[S:61.8%,D:33.2%],F:1.8%,M:3.2%,n:8338	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Galloanserae, Anseriformes, Anatidae, Anserinae, Anser	GCA_002166845.1	full
UP000694522	Amazona collaria (yellow-billed parrot)	241587	25605	C:91.5%[S:62.1%,D:29.5%],F:3.1%,M:5.3%,n:8338	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Neoaves, Telluraves, Australaves, Psittaciformes, Psittacidae, Amazona	GCA_003947215.1	full
UP000694523	Neogobius melanostomus (round goby)	47308	44788	C:81.0%[S:49.3%,D:31.7%],F:4.3%,M:14.6%,n:3640	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Neoteleostei, Eurypterygia, Ctenosquamata, Acanthomorphata, Euacanthomorphacea, Percomorphaceae, Gobiaria, Gobiiformes, Gobioidei, Gobiidae, Benthophilinae, Neogobiini, Neogobius	GCA_007210695.1	full
UP000694541	Accipiter nisus (Eurasian sparrowhawk)	211598	26996	C:88.2%[S:61.2%,D:27.0%],F:5.2%,M:6.7%,n:8338	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Neoaves, Telluraves, Accipitrimorphae, Accipitriformes, Accipitridae, Accipitrinae, Accipiter	GCA_004320145.1	full
UP000694543	Chrysolophus pictus (Golden pheasant) (Phasianus pictus)	9089	18740	C:80.9%[S:61.8%,D:19.1%],F:3.1%,M:16.0%,n:8338	Unknown	Unplaced	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria, Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Galloanserae, Galliformes, Phasianidae, Phasianinae, Chrysolophus	GCA_003413605.1	full
